 title="zbzh"
 variables ="r","z","T(K)"
* zone t= "chamber",i= 25 , j= 49 , f= point
 25  49 
    0.0000    0.0817   2469.75
    0.0007    0.0817   2469.75
    0.0020    0.0817   2469.79
    0.0033    0.0817   2469.87
    0.0047    0.0817   2469.98
    0.0060    0.0817   2470.14
    0.0073    0.0817   2470.33
    0.0086    0.0817   2470.54
    0.0097    0.0817   2470.77
    0.0109    0.0817   2471.03
    0.0121    0.0817   2471.31
    0.0133    0.0817   2471.63
    0.0144    0.0817   2471.97
    0.0158    0.0817   2472.41
    0.0175    0.0817   2472.99
    0.0192    0.0817   2473.61
    0.0208    0.0817   2474.29
    0.0225    0.0817   2475.01
    0.0242    0.0817   2475.77
    0.0254    0.0817   2476.35
    0.0261    0.0817   2476.72
    0.0269    0.0817   2477.10
    0.0276    0.0817   2477.48
    0.0286    0.0817   2478.00
    0.0299    0.0817   2478.66
    0.0000    0.0850   2468.81
    0.0007    0.0850   2468.81
    0.0020    0.0850   2468.86
    0.0033    0.0850   2468.94
    0.0047    0.0850   2469.06
    0.0060    0.0850   2469.23
    0.0073    0.0850   2469.44
    0.0086    0.0850   2469.67
    0.0097    0.0850   2469.92
    0.0109    0.0850   2470.20
    0.0121    0.0850   2470.51
    0.0133    0.0850   2470.85
    0.0144    0.0850   2471.22
    0.0158    0.0850   2471.70
    0.0175    0.0850   2472.33
    0.0192    0.0850   2473.02
    0.0208    0.0850   2473.76
    0.0225    0.0850   2474.54
    0.0242    0.0850   2475.38
    0.0254    0.0850   2476.01
    0.0261    0.0850   2476.42
    0.0269    0.0850   2476.83
    0.0276    0.0850   2477.24
    0.0286    0.0850   2477.81
    0.0299    0.0850   2478.53
    0.0000    0.0883   2467.37
    0.0007    0.0883   2467.37
    0.0020    0.0883   2467.42
    0.0033    0.0883   2467.51
    0.0047    0.0883   2467.64
    0.0060    0.0883   2467.82
    0.0073    0.0883   2468.05
    0.0086    0.0883   2468.30
    0.0097    0.0883   2468.57
    0.0109    0.0883   2468.88
    0.0121    0.0883   2469.21
    0.0133    0.0883   2469.59
    0.0144    0.0883   2469.99
    0.0158    0.0883   2470.52
    0.0175    0.0883   2471.21
    0.0192    0.0883   2471.97
    0.0208    0.0883   2472.78
    0.0225    0.0883   2473.66
    0.0242    0.0883   2474.58
    0.0254    0.0883   2475.28
    0.0261    0.0883   2475.73
    0.0269    0.0883   2476.18
    0.0276    0.0883   2476.64
    0.0286    0.0883   2477.27
    0.0299    0.0883   2478.07
    0.0000    0.0917   2465.38
    0.0007    0.0917   2465.38
    0.0020    0.0917   2465.43
    0.0033    0.0917   2465.53
    0.0047    0.0917   2465.67
    0.0060    0.0917   2465.87
    0.0073    0.0917   2466.11
    0.0086    0.0917   2466.38
    0.0097    0.0917   2466.68
    0.0109    0.0917   2467.01
    0.0121    0.0917   2467.38
    0.0133    0.0917   2467.78
    0.0144    0.0917   2468.23
